"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","COUNT_YRS","WEA_MAX","avg_val","yrs_with_revenue","yrs_excluded_conf","yrs_zero_wea_revenue","Demographics","Gent","region","lease_status"
"NEW BEDFORD, MA",0.0054,0.0016,0.0101,17,5210823.12465753,2386074.47890541,17,0,0,1,1,"NewEngland","Active leases"
"POINT JUDITH, RI",0.0219,0.0129,0.0379,17,2570461.51794872,1379271.99639191,17,0,0,NA,1,"NewEngland","Active leases"
"CAPE MAY, NJ",0.0035,2e-04,0.0147,17,2019287.62328767,341243.812236993,17,0,0,NA,1,"MidAtlantic","Active leases"
"POINT PLEASANT, NJ",0.0122,0.0046,0.0432,17,1435769.65,418809.727305835,17,0,0,NA,NA,"MidAtlantic","Active leases"
"LITTLE COMPTON, RI",0.1314,0.078,0.242,17,1018105.27567568,492416.533942492,17,0,0,NA,1,"NewEngland","Active leases"
"NEWPORT NEWS, VA",0.0053,7e-04,0.0167,17,1008181.24109589,216362.288515611,17,0,0,1,NA,"MidAtlantic","Active leases"
"POINT LOOKOUT, NY",0.0554,0.0062,0.1669,10,934943.471428571,155514.724354837,16,6,1,NA,1,"MidAtlantic","Active leases"
"STONINGTON, CT",0.0104,0.0013,0.0466,16,540076.467142857,94714.5682508086,17,1,0,NA,NA,"NewEngland","Active leases"
"NEWPORT, RI",0.0197,0.0103,0.0338,17,472274.545945946,214618.449928395,17,0,0,NA,1,"NewEngland","Active leases"
"MONTAUK, NY",0.007,0.0027,0.014,17,406902.879452055,161578.555448627,17,0,0,NA,1,"MidAtlantic","Active leases"
"NEW LONDON, CT",0.0101,5e-04,0.0593,15,382939.155714286,59772.4558076521,17,2,0,1,NA,"NewEngland","Active leases"
"BARNEGAT LIGHT, NJ",0.0044,5e-04,0.011,14,368704.855405405,150317.191201418,17,3,0,NA,1,"MidAtlantic","Active leases"
"HAMPTON, VA",0.0027,2e-04,0.012,16,302742.497260274,47796.4661032539,17,1,0,NA,NA,"MidAtlantic","Active leases"
"FAIRHAVEN, MA",0.0052,1e-04,0.0266,16,234334.497260274,43741.3539856214,17,1,0,NA,NA,"NewEngland","Active leases"
"WESTPORT, MA",0.0559,0.0196,0.1208,17,215557.757692308,115409.76861825,17,0,0,NA,NA,"NewEngland","Active leases"
"SHINNECOCK/HAMPTON BAYS, NY",0.0053,2e-04,0.0204,17,180991.15,51318.7566391714,17,0,0,1,1,"MidAtlantic","Active leases"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0048,4e-04,0.0102,12,177209.333766234,79007.2826706988,17,5,0,NA,NA,"NewEngland","Active leases"
"GLOUCESTER, MA",4e-04,0,0.002,16,142290.663380282,29734.6915721569,17,1,0,NA,NA,"NewEngland","Active leases"
"ATLANTIC CITY, NJ",0.0015,1e-04,0.0053,15,135620.7925,34564.4959852937,17,2,0,1,NA,"MidAtlantic","Active leases"
"BELFORD, NJ",0.0088,0.0043,0.025,13,114107.354285714,31236.560375869,17,4,0,NA,1,"MidAtlantic","Active leases"
"TIVERTON, RI",0.0322,6e-04,0.0756,12,94882.8891891892,26922.9268901131,17,5,0,NA,NA,"NewEngland","Active leases"
"CHATHAM, MA",0.0014,1e-04,0.0047,16,86859.96125,25100.1088990313,17,1,0,NA,1,"NewEngland","Active leases"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.0302,1e-04,0.0751,12,75826.9986486486,31211.0045773256,17,5,0,NA,NA,"MidAtlantic","Active leases"
"BARNSTABLE, MA",0.001,0,0.0063,9,75784.1275510204,11842.9663698236,16,7,1,NA,NA,"NewEngland","Active leases"
"OTHER NASSAU, NY",0.0126,3e-04,0.0658,6,74404.44125,15102.9632726144,14,8,3,NA,NA,"MidAtlantic","Active leases"
"HARWICHPORT, MA",0.0051,3e-04,0.0253,7,72157.7350649351,16427.0600353926,16,9,1,NA,1,"NewEngland","Active leases"
"BEAUFORT, NC",0.0019,0,0.0047,16,58834.7556818182,20519.0971029494,17,1,0,NA,NA,"MidAtlantic","Active leases"
"CHILMARK, MA",0.0168,0.0052,0.0274,17,51201.4256097561,26360.8921838163,17,0,0,NA,1,"NewEngland","Active leases"
"FALL RIVER, MA",0.0127,0.0011,0.0315,9,47385.2183098592,27629.3328858052,12,3,5,1,NA,"NewEngland","Active leases"
"NEW BEDFORD, MA",0.0186,0.0077,0.0507,17,21506080.4633803,8268869.781178,17,0,0,1,1,"NewEngland","Non-active leases"
"CAPE MAY, NJ",0.0539,0.0244,0.1069,17,11490088.9112676,4690825.9633575,17,0,0,NA,1,"MidAtlantic","Non-active leases"
"NEWPORT NEWS, VA",0.047,0.0075,0.1384,17,8690009.75352113,1935863.54086374,17,0,0,1,NA,"MidAtlantic","Non-active leases"
"ATLANTIC CITY, NJ",0.1566,0.0249,0.2371,17,8048388.19571428,3920417.15816002,17,0,0,1,NA,"MidAtlantic","Non-active leases"
"BARNEGAT LIGHT, NJ",0.0884,0.0244,0.1696,17,5545722.45194805,2849471.23551477,17,0,0,NA,1,"MidAtlantic","Non-active leases"
"POINT JUDITH, RI",0.0215,0.0128,0.0406,17,2900369.62820513,1372567.66857035,17,0,0,NA,1,"NewEngland","Non-active leases"
"POINT PLEASANT, NJ",0.046,0.0236,0.0674,17,2467574.80769231,1601526.50031768,17,0,0,NA,NA,"MidAtlantic","Non-active leases"
"GLOUCESTER, MA",0.0232,0.0176,0.036,17,2239963.53297872,1550525.17148334,17,0,0,NA,NA,"NewEngland","Non-active leases"
"HAMPTON, VA",0.0356,0.0095,0.0886,17,1828028.17428571,665766.724507,17,0,0,NA,NA,"MidAtlantic","Non-active leases"
"BOSTON, MA",0.0643,0.0483,0.0973,17,1623669.034,1319106.85058911,17,0,0,1,1,"NewEngland","Non-active leases"
"OCEAN CITY, MD",0.0385,0.0212,0.0856,17,1168664.15774648,339059.265647335,17,0,0,NA,NA,"MidAtlantic","Non-active leases"
"WILDWOOD, NJ",0.0776,0.0244,0.1577,15,1065055.53783784,422940.668447758,17,2,0,NA,1,"MidAtlantic","Non-active leases"
"NEW LONDON, CT",0.0214,3e-04,0.1137,16,902725.207042254,145557.170837621,17,1,0,1,NA,"NewEngland","Non-active leases"
"FAIRHAVEN, MA",0.0122,9e-04,0.041,17,884706.847887324,172031.362196684,17,0,0,NA,NA,"NewEngland","Non-active leases"
"STONINGTON, CT",0.0205,0.0065,0.0756,16,857434.626760563,194874.152490986,17,1,0,NA,NA,"NewEngland","Non-active leases"
"OTHER CAPE MAY, NJ",0.0216,0.0021,0.085,11,631106.335616438,119826.945336362,17,6,0,NA,NA,"MidAtlantic","Non-active leases"
"MONTAUK, NY",0.0143,0.0069,0.0263,17,594276.944578313,328380.277765332,17,0,0,NA,1,"MidAtlantic","Non-active leases"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0192,0.007,0.0282,16,552557.654054054,317894.531421954,17,1,0,NA,NA,"NewEngland","Non-active leases"
"CHATHAM, MA",0.0078,0.0011,0.0216,17,464792.159459459,149979.370818477,17,0,0,NA,1,"NewEngland","Non-active leases"
"NEWPORT, RI",0.0221,0.0103,0.0405,17,415778.2,219989.64051391,17,0,0,NA,1,"NewEngland","Non-active leases"
"PORTLAND, ME",0.0057,8e-04,0.0114,17,406323.208974359,199656.517478196,17,0,0,NA,1,"NewEngland","Non-active leases"
"BARNSTABLE, MA",0.0027,0,0.0312,17,378130.871428572,31283.8542687782,17,0,0,NA,NA,"NewEngland","Non-active leases"
