"Indicator","Region","File_Generated","Group1","Group2","mean","min","max","median","sd","upper","lower","recent_value","status","aicc_long_term_linear_normal_error","aicc_long_term_linear_ar1_error","aicc_short_term_ar1_10_years","trend_long_term_linear_normal_error","trend_long_term_linear_ar1_error","trend_short_term_ar1_10_years","pval_long_term_linear_normal_error","pval_long_term_linear_ar1_error","pval_short_term_ar1_10_years","sig_long_term_linear_normal_error","sig_long_term_linear_ar1_error","sig_short_term_ar1_10_years"
"NARW-calf-abundance","BothReports","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/NARW-calf-abundance_BothReports_2026-06-05.png","Unit",NA,14.0217391304348,0,39,12,7.84995153682077,21.8716906672556,6.17178759361401,11,"near average",324.982523304814,320.465694635366,NA,"negative","negative","positive",0.196154343776347,0.350345003505441,0.464,FALSE,FALSE,FALSE
"forage_dist","BothReports","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/forage_dist_BothReports_2026-06-05.png","Eastward","Fall", 368.2233, 296.0486, 422.6559, 372.3723,26.65062, 394.8739, 341.5726, 377.5155,near average,389.2504,385.0883,NA,negative,negative,positive,0.0068080635,0.041279516,0.248,TRUE,TRUE,FALSE
"forage_dist","BothReports","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/forage_dist_BothReports_2026-06-05.png","Eastward","Spring", 365.4830, 280.2950, 434.0439, 368.2428,39.81883, 405.3018, 325.6641, 400.7611,near average,423.3014,422.5800,NA,negative,negative,negative,0.0213540262,0.063833417,0.740,TRUE,FALSE,FALSE
"forage_dist","BothReports","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/forage_dist_BothReports_2026-06-05.png","Northward","Fall",4532.9245,4477.0147,4565.9099,4537.7385,20.39933,4553.3238,4512.5252,4545.7290,near average,361.9699,362.4382,NA,positive,positive,positive,0.0002368742,0.003268341,0.578,TRUE,TRUE,FALSE
"forage_dist","BothReports","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/forage_dist_BothReports_2026-06-05.png","Northward","Spring",4534.0735,4461.5463,4595.1873,4533.4704,30.47439,4564.5479,4503.5991,4560.4094,near average,400.4968,400.0005,NA,positive,positive,negative,0.0092369891,0.038844195,0.186,TRUE,TRUE,FALSE
"comdat_profit","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/comdat_profit_MidAtlantic_2026-06-05.png","Cost Index",NA,1.4721200,0.9770000,2.368000,1.4990000,0.3105276,1.7826476,1.1615924,1.4080000,near average,26.938960543, 23.611039,NA,negative,negative,positive,6.878967e-02,0.203677064,0.308,FALSE,FALSE,FALSE
"comdat_profit","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/comdat_profit_MidAtlantic_2026-06-05.png","Profit Index",NA,0.6459368,0.1789216,1.176049,0.6199869,0.2862698,0.9322065,0.3596670,0.2485795,below average,-0.857427202,-10.744646,NA,positive,positive,negative,5.713483e-08,0.005297415,0.080,TRUE,TRUE,FALSE
"comdat_profit","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/comdat_profit_MidAtlantic_2026-06-05.png","Revenue Index",NA,0.8938800,0.3060000,1.357000,0.9430000,0.2877061,1.1815861,0.6061739,0.3500000,below average,-0.004148016, -2.795973,NA,positive,positive,negative,8.104270e-08,0.004908972,0.062,TRUE,TRUE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-15.png","Council Seafood",NA, 87.7950, 44.35740,147.7160, 85.93207,24.33595,112.1309, 63.45904, 44.35740,below average,387.6963,339.6221,NA,negative,negative,negative,8.751073e-04,0.32655251,0.484,TRUE,FALSE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-15.png","Total",NA,408.5377,242.52998,582.3206,401.32205,84.46547,493.0031,324.07220,242.52998,below average,472.3077,446.3981,NA,negative,negative,negative,6.031067e-08,0.03154014,0.136,TRUE,TRUE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-15.png","US Seafood",NA,168.1717, 90.00009,250.5624,180.70256,48.57902,216.7507,119.59263, 90.00009,below average,452.4644,385.7062,NA,negative,negative,negative,1.072897e-01,0.77370555,0.228,FALSE,FALSE,FALSE
