"Indicator","Region","File_Generated","Group1","Group2","Group3","stats.mean","stats.min","stats.max","stats.median","stats.sd","stats.upper","stats.lower","stats.recent_value","stats.status","trends.aicc_long_term_linear_normal_error","trends.aicc_long_term_linear_ar1_error","trends.aicc_short_term_ar1_10_years","trends.trend_long_term_linear_normal_error","trends.trend_long_term_linear_ar1_error","trends.trend_short_term_ar1_10_years","trends.pval_long_term_linear_normal_error","trends.pval_long_term_linear_ar1_error","trends.pval_short_term_ar1_10_years","trends.sig_long_term_linear_normal_error","trends.sig_long_term_linear_ar1_error","trends.sig_short_term_ar1_10_years"
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-26.png","MAB","Council Seafood",NA, 87.7950, 44.35740,147.7160, 85.93207,24.33595,112.1309, 63.45904, 44.35740,below average,387.6963,339.6221,NA,negative,negative,negative,8.751073e-04,0.32655251,0.484,TRUE,FALSE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-26.png","MAB","Total",NA,408.5377,242.52998,582.3206,401.32205,84.46547,493.0031,324.07220,242.52998,below average,472.3077,446.3981,NA,negative,negative,negative,6.031067e-08,0.03154014,0.136,TRUE,TRUE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-26.png","MAB","US Seafood",NA,168.1717, 90.00009,250.5624,180.70256,48.57902,216.7507,119.59263, 90.00009,below average,452.4644,385.7062,NA,negative,negative,negative,1.072897e-01,0.77370555,0.228,FALSE,FALSE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-26.png","MAB","Council Seafood",NA, 87.7950, 44.35740,147.7160, 85.93207,24.33595,112.1309, 63.45904, 44.35740,below average,387.6963,339.6221,NA,negative,negative,negative,8.751073e-04,0.32655251,0.484,TRUE,FALSE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-26.png","MAB","Total",NA,408.5377,242.52998,582.3206,401.32205,84.46547,493.0031,324.07220,242.52998,below average,472.3077,446.3981,NA,negative,negative,negative,6.031067e-08,0.03154014,0.136,TRUE,TRUE,FALSE
"total_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/total_landings_MidAtlantic_2026-06-26.png","MAB","US Seafood",NA,168.1717, 90.00009,250.5624,180.70256,48.57902,216.7507,119.59263, 90.00009,below average,452.4644,385.7062,NA,negative,negative,negative,1.072897e-01,0.77370555,0.228,FALSE,FALSE,FALSE
"commercial_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/commercial_landings_MidAtlantic_2026-06-26.png","Piscivore","MAB","Council Seafood", 35471.491, 16036.5324, 64426.595, 33929.802,10763.619, 46235.110, 24707.8720, 24012.798,below average,897.6119,865.0843,NA,positive,positive,positive,6.589087e-01,0.7337311638,0.968,FALSE,FALSE,FALSE
"commercial_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/commercial_landings_MidAtlantic_2026-06-26.png","Piscivore","MAB","Total", 49010.589, 32063.5740, 82365.668, 46282.689,12317.086, 61327.675, 36693.5035, 32063.574,below average,902.7984,876.1590,NA,negative,negative,negative,1.174139e-02,0.1385115910,0.880,TRUE,FALSE,FALSE
"commercial_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/commercial_landings_MidAtlantic_2026-06-26.png","Planktivore","MAB","Council Seafood", 10668.815,   545.3768, 46929.477,  7247.428,10786.600, 21455.416,  -117.7847,  1278.327,near average,895.9971,858.4521,NA,negative,negative,negative,1.500375e-01,0.5045887492,0.762,FALSE,FALSE,FALSE
"commercial_landings","MidAtlantic","C:/Users/abigail.tyrell/Documents/code/READ-EDAB-SOE_reports/images/MidAtlantic/commercial_landings_MidAtlantic_2026-06-26.png","Planktivore","MAB","Total",251121.873,149169.5371,383533.759,245416.618,60600.714,311722.587,190521.1595,149169.537,below average,995.2921,991.5611,NA,negative,negative,negative,9.793297e-12,0.0002341598,0.118,TRUE,TRUE,FALSE
